temp,hum,pres,alt,ax,ay,az,gx,gy,gz,t
26.729999542236328,43.873046875,1026.4468994140625,19.190372467041016,24,-4,16400,-11,9,9,1273046
26.729999542236328,43.873046875,1026.4468994140625,19.190372467041016,52,-8,16556,-6,-1,-24,1273060
26.729999542236328,43.873046875,1026.4468994140625,19.190372467041016,60,-80,16372,9,17,-9,1273073
26.729999542236328,43.873046875,1026.43212890625,19.415048599243164,64,-32,16440,7,13,9,1273087
26.719999313354492,43.962890625,1026.4195556640625,19.415048599243164,-72,24,16444,-1,-3,-8,1273100
26.719999313354492,43.962890625,1026.4195556640625,19.415048599243164,132,16,16404,-5,7,13,1273114
26.719999313354492,43.962890625,1026.4195556640625,19.415048599243164,32,24,16396,4,-4,25,1273127
26.719999313354492,43.962890625,1026.4195556640625,19.415048599243164,4,-68,16364,-2,15,10,1273141
26.719999313354492,43.962890625,1026.4195556640625,19.415048599243164,76,-20,16340,-2,2,-14,1273154
26.719999313354492,43.962890625,1026.4195556640625,19.415048599243164,36,-32,16376,-23,-11,-8,1273167
26.719999313354492,43.962890625,1026.4195556640625,19.415048599243164,-88,-8,16500,-3,3,13,1273181
26.719999313354492,43.8291015625,1026.4764404296875,18.947566986083984,-32,36,16336,3,-3,2,1273194
26.719999313354492,43.8291015625,1026.4764404296875,18.947566986083984,68,-28,16384,15,16,-29,1273208
26.719999313354492,43.8291015625,1026.4764404296875,18.947566986083984,32,-44,16300,-7,10,-1,1273228
26.719999313354492,43.8291015625,1026.4764404296875,18.947566986083984,-92,80,16356,12,24,-9,1273242
26.719999313354492,43.8291015625,1026.4764404296875,18.947566986083984,0,-52,16472,10,2,13,1273255
26.719999313354492,43.8291015625,1026.4764404296875,18.947566986083984,60,84,16424,-4,-2,8,1273269
26.719999313354492,43.8291015625,1026.4747314453125,18.996932983398438,96,24,16488,10,-14,9,1273282
26.719999313354492,43.962890625,1026.470458984375,18.996932983398438,-8,24,16364,8,2,-7,1273295
26.719999313354492,43.962890625,1026.470458984375,18.996932983398438,4,36,16400,-16,-19,16,1273309
26.719999313354492,43.962890625,1026.470458984375,18.996932983398438,-44,-60,16300,1,4,-17,1273322
26.719999313354492,43.962890625,1026.470458984375,18.996932983398438,132,-20,16400,16,15,16,1273336
26.719999313354492,43.962890625,1026.470458984375,18.996932983398438,-12,-36,16412,2,-7,-5,1273349
26.719999313354492,43.962890625,1026.470458984375,18.996932983398438,84,-108,16440,10,-9,-5,1273363
26.719999313354492,43.962890625,1026.470458984375,18.996932983398438,8,-44,16360,-24,14,2,1273376
26.719999313354492,43.849609375,1026.4547119140625,19.125892639160156,68,-44,16504,-5,14,18,1273390
26.719999313354492,43.849609375,1026.4547119140625,19.125892639160156,140,44,16424,-9,-7,20,1273403
26.719999313354492,43.849609375,1026.4547119140625,19.125892639160156,-52,44,16276,18,21,17,1273422
26.719999313354492,43.849609375,1026.4547119140625,19.125892639160156,-92,-40,16488,-1,8,-1,1273443
26.719999313354492,43.849609375,1026.4547119140625,19.125892639160156,24,96,16488,-3,7,15,1273456
26.719999313354492,43.849609375,1026.4547119140625,19.125892639160156,48,-16,16412,-11,-2,8,1273470
26.719999313354492,43.693359375,1026.43505859375,19.287595748901367,68,116,16304,-10,2,-24,1273483
26.719999313354492,43.693359375,1026.43505859375,19.287595748901367,-40,-48,16564,9,12,1,1273497
26.719999313354492,43.693359375,1026.43505859375,19.287595748901367,-12,0,16440,-4,-2,13,1273510
26.719999313354492,43.693359375,1026.43505859375,19.287595748901367,84,-56,16316,13,-12,-7,1273523
26.719999313354492,43.693359375,1026.43505859375,19.287595748901367,12,-20,16384,6,-10,17,1273537
26.719999313354492,43.693359375,1026.43505859375,19.287595748901367,4,-80,16480,-14,9,4,1273550
26.719999313354492,43.693359375,1026.43505859375,19.287595748901367,52,-24,16468,10,7,3,1273564
26.729999542236328,43.7392578125,1026.4376220703125,19.26643943786621,20,-104,16460,-19,-9,19,1273577
26.729999542236328,43.7392578125,1026.4376220703125,19.26643943786621,140,0,16408,12,-7,-2,1273591
26.729999542236328,43.7392578125,1026.4376220703125,19.26643943786621,12,-76,16372,-2,-12,22,1273604
26.729999542236328,43.7392578125,1026.4376220703125,19.26643943786621,8,-28,16452,0,-1,-22,1273618
26.729999542236328,43.7392578125,1026.4376220703125,19.26643943786621,144,44,16300,12,-9,-10,1273631
26.729999542236328,43.7392578125,1026.4376220703125,19.26643943786621,148,-20,16372,5,11,-8,1273645
26.729999542236328,43.7392578125,1026.4376220703125,19.26643943786621,64,88,16236,11,4,12,1273658
26.729999542236328,43.7392578125,1026.4376220703125,19.014564514160156,60,32,16488,0,11,-2,1273672
26.719999313354492,43.8623046875,1026.46826171875,19.014564514160156,-24,28,16400,16,-13,-26,1273685
26.719999313354492,43.8623046875,1026.46826171875,19.014564514160156,-16,-4,16344,0,14,17,1273699
26.719999313354492,43.8623046875,1026.46826171875,19.014564514160156,8,-36,16380,5,25,-5,1273712
26.719999313354492,43.8623046875,1026.46826171875,19.014564514160156,76,-36,16444,-7,-4,-1,1273726
26.719999313354492,43.8623046875,1026.46826171875,19.014564514160156,56,-16,16364,-4,13,-4,1273739
26.719999313354492,43.8623046875,1026.46826171875,19.014564514160156,-68,24,16336,-5,15,-3,1273753
26.719999313354492,43.8623046875,1026.46826171875,19.014564514160156,-60,-28,16316,-8,19,25,1273766
26.719999313354492,43.650390625,1026.4566650390625,19.110275268554688,76,48,16364,-6,-7,-3,1273780
26.719999313354492,43.650390625,1026.4566650390625,19.110275268554688,68,-28,16348,-12,3,5,1273793
26.719999313354492,43.650390625,1026.4566650390625,19.110275268554688,12,44,16348,2,-4,-6,1273807
26.719999313354492,43.650390625,1026.4566650390625,19.110275268554688,64,-64,16364,0,5,29,1273820
26.719999313354492,43.650390625,1026.4566650390625,19.110275268554688,32,-24,16508,-5,24,10,1273833
26.719999313354492,43.650390625,1026.4566650390625,19.110275268554688,76,68,16372,-7,-9,3,1273847
26.719999313354492,43.650390625,1026.4566650390625,19.110275268554688,-48,-28,16432,-20,19,1,1273860
26.719999313354492,43.7841796875,1026.483642578125,18.888628005981445,4,-40,16348,8,-3,-19,1273874
26.719999313354492,43.7841796875,1026.483642578125,18.888628005981445,16,112,16356,-21,18,4,1273887
26.719999313354492,43.7841796875,1026.483642578125,18.888628005981445,0,44,16464,-31,5,-5,1273901
26.719999313354492,43.7841796875,1026.483642578125,18.888628005981445,92,24,16192,8,0,18,1273914
26.719999313354492,43.7841796875,1026.483642578125,18.888628005981445,-44,-44,16488,19,14,18,1273928
26.719999313354492,43.7841796875,1026.483642578125,18.888628005981445,-68,-68,16368,6,-3,-2,1273941
26.719999313354492,43.7841796875,1026.483642578125,18.888628005981445,88,20,16284,-5,9,-7,1273955
26.719999313354492,43.7060546875,1026.4556884765625,19.11783218383789,8,-24,16404,-3,-9,-6,1273968
26.719999313354492,43.7060546875,1026.4556884765625,19.11783218383789,24,16,16256,-4,-34,35,1273982
26.719999313354492,43.7060546875,1026.4556884765625,19.11783218383789,-12,-128,16388,-16,-14,-8,1273995
26.719999313354492,43.7060546875,1026.4556884765625,19.11783218383789,56,-12,16488,1,7,4,1274009
26.719999313354492,43.7060546875,1026.4556884765625,19.11783218383789,-32,76,16296,-25,26,-9,1274022
26.719999313354492,43.7060546875,1026.4556884765625,19.11783218383789,24,44,16304,-8,3,10,1274036
26.719999313354492,43.7060546875,1026.4556884765625,19.11783218383789,44,12,16248,-20,5,7,1274049
26.719999313354492,43.7060546875,1026.465576171875,19.108261108398438,-4,24,16444,14,2,16,1274063
26.719999313354492,43.6044921875,1026.4569091796875,19.108261108398438,52,-64,16348,17,10,1,1274083
26.719999313354492,43.6044921875,1026.4569091796875,19.108261108398438,-20,-64,16528,0,31,-4,1274097
26.719999313354492,43.6044921875,1026.4569091796875,19.108261108398438,56,40,16412,3,26,-2,1274110
26.719999313354492,43.6044921875,1026.4569091796875,19.108261108398438,-44,-28,16368,0,9,8,1274124
26.719999313354492,43.6044921875,1026.4569091796875,19.108261108398438,-20,8,16392,2,15,21,1274137
26.719999313354492,43.6044921875,1026.4569091796875,19.108261108398438,88,-36,16404,-7,-12,-6,1274151
26.719999313354492,43.728515625,1026.4671630859375,19.023632049560547,-24,0,16476,4,-8,-15,1274164
26.719999313354492,43.728515625,1026.4671630859375,19.023632049560547,72,-48,16392,5,2,4,1274178
26.719999313354492,43.728515625,1026.4671630859375,19.023632049560547,40,16,16352,0,-14,3,1274191
26.719999313354492,43.728515625,1026.4671630859375,19.023632049560547,24,-60,16436,-8,-18,23,1274213
26.719999313354492,43.728515625,1026.4671630859375,19.023632049560547,68,-80,16448,-17,-8,23,1274226
26.719999313354492,43.728515625,1026.4671630859375,19.023632049560547,8,32,16356,10,-23,40,1274239
26.719999313354492,43.728515625,1026.4671630859375,19.023632049560547,88,40,16388,-6,-8,10,1274251
26.719999313354492,43.828125,1026.44873046875,19.17525863647461,28,-20,16424,-9,-10,-3,1274264
26.719999313354492,43.828125,1026.44873046875,19.17525863647461,80,-32,16392,16,6,-3,1274277
26.719999313354492,43.828125,1026.44873046875,19.17525863647461,-72,-32,16340,-17,18,-4,1274289
26.719999313354492,43.828125,1026.44873046875,19.17525863647461,8,-24,16476,-3,0,-13,1274302
26.719999313354492,43.828125,1026.44873046875,19.17525863647461,196,-24,16500,20,9,10,1274315
26.719999313354492,43.828125,1026.44873046875,19.17525863647461,76,-32,16420,-6,-5,-11,1274327
26.719999313354492,43.828125,1026.44873046875,19.17525863647461,-20,-4,16396,5,-8,1,1274340
26.719999313354492,43.828125,1026.44873046875,19.17525863647461,20,32,16388,-7,-11,-7,1274353
26.719999313354492,43.5263671875,1026.4776611328125,18.93749237060547,32,-28,16212,-6,3,6,1274365
26.719999313354492,43.5263671875,1026.4776611328125,18.93749237060547,72,32,16500,-5,-5,-32,1274378
26.719999313354492,43.5263671875,1026.4776611328125,18.93749237060547,-4,48,16380,-1,4,5,1274391
26.719999313354492,43.5263671875,1026.4776611328125,18.93749237060547,20,-4,16416,-6,6,0,1274403
26.719999313354492,43.5263671875,1026.4776611328125,18.93749237060547,84,-16,16312,13,4,13,1274416
26.719999313354492,43.5263671875,1026.4776611328125,18.93749237060547,116,36,16360,14,-1,-6,1274429
26.719999313354492,43.5263671875,1026.4776611328125,18.93749237060547,4,-4,16440,-12,5,2,1274441
26.719999313354492,43.6279296875,1026.4599609375,19.083072662353516,32,-28,16380,3,4,-35,1274454
26.719999313354492,43.6279296875,1026.4599609375,19.083072662353516,32,28,16408,-10,7,20,1274467
26.719999313354492,43.6279296875,1026.4599609375,19.083072662353516,-56,16,16472,-2,1,-1,1274479
26.719999313354492,43.6279296875,1026.4599609375,19.083072662353516,76,-44,16304,2,12,-2,1274492
26.719999313354492,43.6279296875,1026.4599609375,19.083072662353516,8,36,16540,11,5,6,1274505
26.719999313354492,43.6279296875,1026.4599609375,19.083072662353516,64,72,16508,2,-4,8,1274517
26.719999313354492,43.6279296875,1026.4599609375,19.083072662353516,-12,-12,16336,17,11,22,1274530
26.719999313354492,43.6279296875,1026.4599609375,19.083072662353516,-8,-28,16440,0,-6,4,1274543
26.719999313354492,43.537109375,1026.4300537109375,19.32890510559082,64,52,16372,3,4,1,1274555
26.719999313354492,43.537109375,1026.4300537109375,19.32890510559082,60,32,16420,-9,-18,-1,1274568
26.719999313354492,43.537109375,1026.4300537109375,19.32890510559082,96,-44,16372,-3,1,22,1274581
26.719999313354492,43.537109375,1026.4300537109375,19.32890510559082,-16,-32,16340,2,3,-17,1274593
26.719999313354492,43.537109375,1026.4300537109375,19.32890510559082,72,-36,16324,5,9,-1,1274606
26.719999313354492,43.537109375,1026.4300537109375,19.32890510559082,72,-12,16332,-3,-5,24,1274619
26.719999313354492,43.537109375,1026.4300537109375,19.32890510559082,64,60,16408,-6,1,4,1274631
26.719999313354492,43.537109375,1026.4300537109375,19.32890510559082,20,16,16440,-6,-21,-12,1274644
26.719999313354492,43.6279296875,1026.44091796875,19.23923683166504,4,-76,16304,14,20,-11,1274657
26.719999313354492,43.6279296875,1026.44091796875,19.23923683166504,8,24,16372,17,16,6,1274669
26.719999313354492,43.6279296875,1026.44091796875,19.23923683166504,36,-40,16464,2,-12,6,1274682
26.719999313354492,43.6279296875,1026.44091796875,19.23923683166504,36,-24,16404,-1,7,-6,1274695
26.719999313354492,43.6279296875,1026.44091796875,19.23923683166504,140,-40,16540,11,-27,-23,1274707
26.719999313354492,43.6279296875,1026.44091796875,19.23923683166504,20,-144,16416,12,-30,-3,1274720
26.719999313354492,43.6279296875,1026.44091796875,19.23923683166504,100,-4,16276,-12,7,-3,1274733
26.719999313354492,43.6279296875,1026.4588623046875,19.092140197753906,44,-80,16380,-9,-12,-4,1274745
26.719999313354492,43.52734375,1026.4588623046875,19.092140197753906,88,40,16324,-5,-9,-8,1274758
26.719999313354492,43.52734375,1026.4588623046875,19.092140197753906,8,-64,16316,9,0,16,1274771
26.719999313354492,43.52734375,1026.4588623046875,19.092140197753906,52,36,16364,-1,26,9,1274783
26.719999313354492,43.52734375,1026.4588623046875,19.092140197753906,-8,20,16488,6,-5,20,1274796
26.719999313354492,43.52734375,1026.4588623046875,19.092140197753906,48,12,16516,-4,2,19,1274809
26.719999313354492,43.52734375,1026.4588623046875,19.092140197753906,44,48,16344,4,-13,-14,1274821
26.719999313354492,43.52734375,1026.4588623046875,19.092140197753906,-48,36,16484,-22,-16,-9,1274834
26.719999313354492,43.6826171875,1026.4356689453125,19.28255844116211,-12,-16,16304,-13,-4,27,1274847
26.719999313354492,43.6826171875,1026.4356689453125,19.28255844116211,0,28,16316,4,17,19,1274859
26.719999313354492,43.6826171875,1026.4356689453125,19.28255844116211,48,-92,16424,-1,1,14,1274872
26.719999313354492,43.6826171875,1026.4356689453125,19.28255844116211,64,12,16216,11,-11,-3,1274885
26.719999313354492,43.6826171875,1026.4356689453125,19.28255844116211,56,-84,16324,-1,-2,24,1274897
26.719999313354492,43.6826171875,1026.4356689453125,19.28255844116211,-44,-52,16380,-15,8,-32,1274910
26.719999313354492,43.6826171875,1026.4356689453125,19.28255844116211,136,36,16364,1,1,-17,1274923
26.719999313354492,43.6826171875,1026.4683837890625,19.01355743408203,-20,-60,16424,18,2,-14,1274944
26.719999313354492,43.6826171875,1026.4683837890625,19.01355743408203,4,-8,16376,-8,5,-9,1274957
26.719999313354492,43.6826171875,1026.4683837890625,19.01355743408203,68,-4,16496,2,-1,-6,1274970
26.719999313354492,43.6826171875,1026.4683837890625,19.01355743408203,36,-44,16336,10,2,-5,1274982
26.719999313354492,43.6826171875,1026.4683837890625,19.01355743408203,-16,12,16348,0,4,-12,1275004
26.719999313354492,43.6826171875,1026.4683837890625,19.01355743408203,-28,-20,16260,-1,17,15,1275017
26.719999313354492,43.6826171875,1026.4683837890625,19.01355743408203,48,32,16336,-13,-17,-13,1275029
26.709999084472656,43.58203125,1026.4246826171875,19.372732162475586,-44,132,16308,15,1,11,1275042
